Kode,Emiten,Sektor,Tahun_IPO,Saham_Beredar,Papan_Pencatatan,A,B,D,E,F,I,K,L,M,S,X,Total_Notasi,Keuangan,Administrasi,Hukum,Sanksi,Struktur_Saham,Pemantauan_Khusus
GMFI,Garuda Maintenance Facility Ae,Infrastructures,2017,28233511500.0,Pemantauan Khusus,0,0,0,1,0,0,0,0,0,0,1,2,Ya,Tidak,Tidak,Tidak,Tidak,Ya
MAGP,Multi Agro Gemilang Plantation,Consumer Non-Cyclicals,2013,9000000004.0,Pemantauan Khusus,0,0,0,0,0,0,0,1,0,0,1,2,Tidak,Ya,Tidak,Tidak,Tidak,Ya
AGAR,Asia Sejahtera Mina Tbk.,Consumer Non-Cyclicals,2019,1000000000.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
PNSE,Pudjiadi & Sons Tbk.,Consumer Cyclicals,1990,797813496.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
MAMI,Mas Murni Indonesia Tbk,Consumer Cyclicals,1994,12299317590.0,Pemantauan Khusus,0,1,0,0,0,0,0,1,0,0,1,3,Ya,Ya,Tidak,Tidak,Tidak,Ya
SKYB,Northcliff Citranusa Indonesia,Technology,2010,585000000.0,Pemantauan Khusus,0,0,0,0,0,0,0,1,0,0,1,2,Tidak,Ya,Tidak,Tidak,Tidak,Ya
BUKA,Bukalapak.com Tbk.,Technology,2021,103099967067.0,Ekonomi Baru,0,0,0,0,0,1,0,0,0,0,0,1,Tidak,Tidak,Tidak,Tidak,Ya,Tidak
HDTX,Panasia Indo Resources Tbk.,Consumer Cyclicals,1990,3601462800.0,Pemantauan Khusus,0,0,0,1,0,0,0,0,0,0,1,2,Ya,Tidak,Tidak,Tidak,Tidak,Ya
DADA,Diamond Citra Propertindo Tbk.,Properties & Real Estate,2020,7431530800.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
WMPP,Widodo Makmur Perkasa Tbk.,Consumer Non-Cyclicals,2021,29419000000.0,Pemantauan Khusus,0,0,0,0,0,0,0,1,0,0,1,2,Tidak,Ya,Tidak,Tidak,Tidak,Ya
TOYS,Sunindo Adipersada Tbk.,Consumer Cyclicals,2020,1435000712.0,Pengembangan,0,0,0,0,0,0,0,0,1,0,0,1,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
SINI,Singaraja Putra Tbk.,Industrials,2019,481000000.0,Pemantauan Khusus,0,0,0,1,0,0,0,1,0,0,1,3,Ya,Ya,Tidak,Tidak,Tidak,Ya
FLMC,Falmaco Nonwoven Industri Tbk.,Consumer Non-Cyclicals,2021,781250000.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
LCKM,LCK Global Kedaton Tbk.,Infrastructures,2018,1000000000.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
TAMU,Pelayaran Tamarin Samudra Tbk.,Energy,2017,37500000000.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
JECC,Jembo Cable Company Tbk.,Industrials,1992,151200000.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
WMUU,Widodo Makmur Unggas Tbk.,Consumer Non-Cyclicals,2021,12941176500.0,Pemantauan Khusus,0,0,0,0,0,0,0,1,0,0,1,2,Tidak,Ya,Tidak,Tidak,Tidak,Ya
SOHO,Soho Global Health Tbk.,Healthcare,2020,12691682390.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
CSMI,Cipta Selera Murni Tbk.,Consumer Cyclicals,2020,816061500.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
ARGO,Argo Pantes Tbk,Consumer Cyclicals,1991,3174339029.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
CTTH,Citatah Tbk.,Industrials,1996,1230839821.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
LCGP,Eureka Prima Jakarta Tbk.,Properties & Real Estate,2007,5630000914.0,Pemantauan Khusus,0,0,0,0,0,0,0,1,0,0,1,2,Tidak,Ya,Tidak,Tidak,Tidak,Ya
MKNT,Mitra Komunikasi Nusantara Tbk,Consumer Cyclicals,2015,5500000000.0,Pemantauan Khusus,0,0,0,1,0,0,0,1,0,0,1,3,Ya,Ya,Tidak,Tidak,Tidak,Ya
ANDI,Andira Agro Tbk.,Consumer Non-Cyclicals,2018,9350000000.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
WSKT,Waskita Karya (Persero) Tbk.,Infrastructures,2012,28806807016.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,1,0,1,2,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
TAXI,Express Transindo Utama Tbk.,Transportation & Logistic,2012,10223647156.0,Pemantauan Khusus,0,0,0,0,0,0,0,1,0,0,1,2,Tidak,Ya,Tidak,Tidak,Tidak,Ya
TOPS,Totalindo Eka Persada Tbk.,Infrastructures,2017,33330000000.0,Pemantauan Khusus,0,0,0,0,0,0,0,1,0,0,1,2,Tidak,Ya,Tidak,Tidak,Tidak,Ya
IPPE,Indo Pureco Pratama Tbk.,Consumer Non-Cyclicals,2021,4600000000.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
PLIN,Plaza Indonesia Realty Tbk.,Properties & Real Estate,1992,3550000000.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
SCPI,Organon Pharma Indonesia Tbk.,Healthcare,1990,3600000.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
MABA,Marga Abhinaya Abadi Tbk.,Consumer Cyclicals,2017,15365229912.0,Pemantauan Khusus,0,0,1,0,0,0,0,1,0,0,1,3,Ya,Ya,Tidak,Tidak,Tidak,Ya
AGII,Samator Indo Gas Tbk.,Basic Materials,2016,3066660000.0,Utama,0,0,0,0,0,0,0,1,0,0,0,1,Tidak,Ya,Tidak,Tidak,Tidak,Tidak
TELE,Omni Inovasi Indonesia Tbk.,Consumer Cyclicals,2012,7310929389.0,Pemantauan Khusus,0,0,1,1,0,0,0,0,0,0,1,3,Ya,Tidak,Tidak,Tidak,Tidak,Ya
SSTM,Sunson Textile Manufacture Tbk,Consumer Cyclicals,1997,1170909181.0,Pemantauan Khusus,0,0,0,0,0,0,0,1,0,0,1,2,Tidak,Ya,Tidak,Tidak,Tidak,Ya
POLL,Pollux Properties Indonesia Tb,Properties & Real Estate,2018,8318823600.0,Pengembangan,0,0,0,0,0,0,0,1,0,0,0,1,Tidak,Ya,Tidak,Tidak,Tidak,Tidak
CMPP,AirAsia Indonesia Tbk.,Transportation & Logistic,1994,10685124441.0,Pemantauan Khusus,0,0,0,1,0,0,0,1,0,0,1,3,Ya,Ya,Tidak,Tidak,Tidak,Ya
REAL,Repower Asia Indonesia Tbk.,Properties & Real Estate,2019,6633610151.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
ZATA,Bersama Zatta Jaya Tbk.,Consumer Cyclicals,2022,8496000000.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
RSGK,Kedoya Adyaraya Tbk.,Healthcare,2021,929675000.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
NIKL,Pelat Timah Nusantara Tbk.,Basic Materials,2009,2523350000.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
CENT,Centratama Telekomunikasi Indo,Infrastructures,2001,31183464900.0,Pemantauan Khusus,0,0,0,1,0,0,0,0,0,0,1,2,Ya,Tidak,Tidak,Tidak,Tidak,Ya
SBAT,Sejahtera Bintang Abadi Textil,Consumer Cyclicals,2020,4752982378.0,Pemantauan Khusus,0,0,0,0,0,0,0,1,1,1,1,4,Tidak,Ya,Tidak,Tidak,Tidak,Ya
INAF,Indofarma Tbk.,Healthcare,2001,3099267500.0,Pemantauan Khusus,0,0,0,1,0,0,0,1,1,0,1,4,Ya,Ya,Tidak,Tidak,Tidak,Ya
LEAD,Logindo Samudramakmur Tbk.,Energy,2013,4049616328.0,Utama,0,0,0,0,0,0,0,1,0,0,0,1,Tidak,Ya,Tidak,Tidak,Tidak,Tidak
ALTO,Tri Banyan Tirta Tbk.,Consumer Non-Cyclicals,2012,2191870558.0,Pemantauan Khusus,0,0,0,0,0,0,0,1,0,0,1,2,Tidak,Ya,Tidak,Tidak,Tidak,Ya
SKLT,Sekar Laut Tbk.,Consumer Non-Cyclicals,1993,6907405000.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
HELI,Jaya Trishindo Tbk.,Transportation & Logistic,2018,832862387.0,Pengembangan,0,0,0,0,0,0,0,1,0,0,0,1,Tidak,Ya,Tidak,Tidak,Tidak,Tidak
WSBP,Waskita Beton Precast Tbk.,Basic Materials,2016,54555721325.0,Pemantauan Khusus,0,0,0,1,0,0,0,0,0,0,1,2,Ya,Tidak,Tidak,Tidak,Tidak,Ya
